SH,SZ,DJI,FTSE,HIS,N225,SPX
0.020727795,0.025177424,0.001060391,0.001338745,0.008716913,0.013831836,4.26E-05
0.001493859,0.003228097,-0.004667338,-0.006736399,0.006447013,0.003700767,-0.003278272
-0.006208524,-0.007867341,0.006467243,0.001289645,-0.006356616,-0.000334095,0.007386521
0.012246895,0.015227447,0.003920166,0.011422914,0.013916812,0.000931112,0.009579637
0.003343501,0.006426773,-0.006628122,0.00615347,0.018027064,-0.011097557,-0.005894051
0.000229236,-0.005105566,0.002707956,-0.003169185,-0.002819011,0.003230749,0.00336867
-0.003316686,-0.005594216,0.006411138,-0.008603283,0.015494659,0.0042358,0.006661623
-0.009418715,-0.016359295,0.000783518,0.010150144,-0.00317183,-0.008090837,0.001765063
0.008505084,0.010257104,0.001221318,0.001155115,-0.001565975,0.003905017,0.000685109
-0.005126704,-0.012496835,0.009365755,-0.002771398,0.000809516,0.00612938,0.011088384
0.010170322,0.009047518,0.001927458,0.005985529,0.001643687,-0.015339077,0.000842168
0.001558926,0.003654153,-0.011362185,0.004949559,-0.013291428,-0.017574433,-0.01625795
-0.000384448,-0.003542266,0.006638436,-0.014011848,-0.02126659,-0.00074188,0.004511129
-0.011012828,-0.007736133,0.00225223,-0.002798151,0.010142701,0.017223137,0.008026026
-0.049106526,-0.064214648,0.000706772,0.00969117,-0.005214014,-0.012791962,-0.001019431
-0.000256383,-0.009110056,0.000841899,-0.010473611,-0.002606266,-0.003167832,0.002261236
0.017877306,0.019552759,0.006266312,-0.010203131,-0.009857322,0.022766124,0.00709828
-0.011203609,-0.005355864,6.69E-05,0.010241569,0.015996507,0.004188857,-0.004305721
-0.005330764,-9.33E-05,-0.019195959,0.005262482,-0.015182562,-0.026008978,-0.023659567
-0.004714911,-0.00860197,0.004835456,-0.026474224,-0.014801497,0.012065368,0.006441938
-0.020953799,-0.021541646,0.010989374,-0.003022309,-0.008171019,-0.033259031,0.012860144
-0.002615932,-0.001896937,-0.014313962,0.005574585,0.015741051,-0.031445668,-0.016787736
-0.011059329,-0.012205815,-0.007461952,-0.011556703,-0.016505054,0.015899612,-0.011091971
0.00075936,-0.003024482,-0.005382008,-0.025936298,-0.021198431,-0.011422256,-0.006582627
-0.012385259,-0.018240635,-0.032525108,-0.012867237,-0.009595938,-0.001640942,-0.032914198
0.007685335,0.003911771,-0.013386322,-0.015267789,-0.010641869,0.021559201,-0.015426629
-0.041975819,-0.054261326,0.038246958,-0.026575113,0.025101196,-0.014992412,0.043034725
-0.018909258,-0.026851645,-0.00342538,0.050322497,-0.013808898,-0.02191092,-0.003403127
0.003851399,0.011525585,0.013735382,-0.009925811,0.003269678,0.000671928,0.013645989
-0.019147548,-0.016982858,-0.01051308,0.009188638,0.01033458,-0.005462708,-0.012219412
0.003069796,0.005477674,-0.015212101,0.00929639,-0.013657871,-0.015485182,-0.018979079
0.020422157,0.026374534,0.000533748,-0.031953118,-0.021587578,-0.02480792,0.001108852
-0.005133228,-0.008450429,-0.010870258,-5.89E-05,0.011585581,-0.002675136,-0.014297727
-0.052022169,-0.059675485,-0.006354494,0.008476968,-0.018518885,-0.031067697,-0.005143469
0.013522586,0.027575273,-0.036700007,-0.028526351,-0.001694598,0.006613466,-0.03975572
