date,1398 HK Equity,700 HK Equity,16 HK Equity,857 HK Equity,1 HK Equity,1928 HK Equity,3 HK Equity,2018 HK Equity,914 HK Equity,1099 HK Equity,2319 HK Equity
2023/5/14,4.99,111.1,102,9.45,76.898,59.25,11.586,44.3,27.25,20.6,19.55
2023/5/16,3.88,159.1,86.95,5.2,88.15,27.3,10.759,60,18.14,35.5,12.1
2023/5/17,5.12,275.2,113.1,5.33,100.3,34.65,13.091,82.6,26,34.75,15.52
2023/6/14,4.84,114.2,105.6,9.66,77.071,54.2,11.283,49.2,27.1,21.05,17.425
2023/6/15,6.63,158.1,129.2,8.86,118.2,28.9,12.261,44,29.9,36.7,20.875
2023/6/16,4.45,176.1,88.95,5.42,91.65,26.55,11.058,66.2,18.04,36.25,13.18
2023/6/17,5.2,280.2,116.6,4.85,99.05,35.75,13.509,96,25.35,35.95,15.44
2023/7/13,5.1,66.52,103.5,9.45,63.592,42.2,12.245,34.45,22.9,19.74,15.475
2023/7/14,5.13,124.3,107.4,10.8,80.815,56.75,11.611,48.6,30.1,23.8,18.95
2023/7/15,5.59,154.5,124,7.92,114.4,33.35,11.901,41.95,26.1,32.4,19.175
2023/8/13,5.14,71.16,100.1,8.5,62.728,43.65,11.537,35.55,26.35,19.72,15.475
2023/8/16,5,203.6,110.5,5.28,99,30.8,12.033,81,21.9,39.05,13.12
2023/8/17,5.62,324,122.9,4.86,102.7,35.25,13.345,119.5,28.25,33.9,16.94
2023/9/13,5.6,81.84,107.2,8.85,69.698,48.1,11.413,37.1,26.65,18.84,17.825
2023/9/14,5.03,118.9,116.8,10.2,77.589,43.25,11.802,44.3,26.3,28.55,17.175
2023/9/15,4.55,130.9,102.8,5.58,101.5,26.35,11.134,47.4,23.45,27.8,13.15
2023/9/16,4.88,218.2,118.6,5.06,100.3,33.4,12.281,81.45,21.55,38.6,14.5
2023/10/13,5.28,86.04,101.6,8.94,70.504,57.05,11.276,33.8,26.4,21.55,17.7
2023/10/14,5.02,119.6,114.4,9.6,76.956,45.3,12.267,43.7,25.15,29.05,16.175
2023/10/15,5.14,149.2,106.9,6.32,108.2,28.1,11.946,49,24.4,30.2,15.22
2023/10/17,6.16,348.6,130.7,4.97,101.1,37.3,13.527,140.6,34.55,35.1,21.4
2023/11/15,4.86,155.5,98.9,5.65,104,26.25,11.826,56.1,22.25,31.6,13.4
2023/11/16,4.64,194.3,102,5.39,96.2,37.9,11.884,72.55,21.95,35.55,15.52
2023/11/17,6.16,419.6,129,5.3,99.1,37.15,13.527,169.5,36,30.5,21
2023/12/13,5.19,93.44,97.05,8.45,69.352,61.4,10.866,36.1,28.8,22,17.825
2023/12/14,5.53,112.8,116.6,8.59,74.824,37.35,11.789,40.85,26.55,27.35,15.425
2023/12/15,4.79,152.2,95.85,5.26,104.4,26.3,11.285,50.7,21.3,32.2,12.7
2023/12/16,4.49,179.7,97.25,5.81,88.1,33.15,11.24,67.45,21.2,31.45,14.34
2024/1/13,5.94,54.16,130.5,11.1,74.882,38.95,12.136,28.2,28.8,24.3,11.7
2024/1/14,4.76,100.2,96.85,7.87,67.912,59.75,10.245,35.45,31.05,22.35,18.275
2024/1/17,4.73,197.8,105.8,6.18,92.3,34.9,12.017,78.4,25.95,35.6,14.22
2024/2/14,4.65,115.6,97.5,7.9,68.431,59.35,10.034,34.05,28.45,21.9,19.35
2024/2/15,5.7,135.1,124,8.81,87.151,37.9,11.857,49.25,26.2,27.45,17.725
2024/2/16,3.93,140.4,86.7,5.07,95.55,26.35,10.398,52.95,16.24,28.2,11.38
