date,1398 HK Equity,700 HK Equity,16 HK Equity,857 HK Equity,1 HK Equity,1928 HK Equity,3 HK Equity,2018 HK Equity,914 HK Equity,1099 HK Equity,2319 HK Equity
2014-08-14,5.25,130.1,116.8,10.68,83.061,53.15,11.857000000000001,46.8,29.1,23.45,19.45
2014-08-15,5.25,143.4,110.2,7.28,113.7,33.9,11.825999999999999,42.05,26.95,28.8,16.725
2014-08-17,5.4,324.0,122.3,4.95,102.0,35.1,13.472999999999999,114.1,28.75,33.05,15.84
2014-09-15,4.72,128.0,103.8,5.72,105.1,25.85,11.3,47.6,24.0,28.3,13.225
2014-09-16,4.8,208.6,115.2,4.99,99.7,34.15,11.884,80.6,21.1,37.65,14.8
2014-09-17,5.73,337.0,135.3,4.97,100.6,38.05,13.345,142.0,33.3,35.6,20.15
2014-10-13,5.52,83.8,103.9,8.91,71.368,51.4,11.375,35.4,26.6,21.3,17.75
2014-10-14,4.89,113.4,113.4,9.5,75.516,41.35,12.212,43.2,24.55,26.8,16.6
2014-10-15,4.91,142.6,102.3,6.3,106.0,27.8,11.42,46.95,24.95,28.2,14.72
2014-10-16,4.72,209.0,114.0,5.36,96.9,35.0,12.215,77.9,20.5,37.95,14.84
2014-11-13,5.19,82.16,100.5,8.59,68.949,55.4,11.102,30.65,26.6,20.65,16.3
2014-11-14,5.11,131.9,116.4,8.68,80.872,47.7,12.8,43.85,25.35,34.1,15.3
2014-11-16,4.51,192.6,99.75,5.13,93.35,34.55,11.835,68.8,23.0,34.9,15.14
2014-11-17,6.14,388.0,127.4,5.42,97.0,37.4,13.455,175.1,33.8,32.25,21.05
2014-12-15,4.48,146.5,93.85,5.02,101.5,25.4,11.195,51.3,21.0,31.7,12.56
2014-12-16,4.71,186.8,102.1,6.02,91.35,34.0,11.57,68.9,22.6,33.2,15.84
2014-12-17,6.24,397.2,127.5,5.41,96.25,40.55,13.873,140.9,35.75,30.75,21.4
2015-01-13,5.86,51.64,123.3,10.9,73.557,36.1,11.939,27.9,28.2,25.3,11.75
2015-01-14,4.94,101.7,96.6,8.01,69.179,63.9,10.568,35.65,28.9,22.65,18.9
2015-01-15,5.74,126.9,122.2,8.86,82.14,38.1,12.117,45.7,29.2,29.25,17.1
2015-01-16,4.05,137.0,87.3,4.38,97.55,21.65,10.924000000000001,45.7,16.94,28.65,10.84
2015-02-13,5.75,54.88,123.5,10.64,71.483,37.5,12.193,31.75,30.95,23.9,11.225
2015-02-16,3.91,138.2,82.6,4.67,93.5,25.85,10.472999999999999,49.95,14.5,26.65,11.78
