作者1,作者2,合作次数,1-2单向引用次数,2-1单向引用次数,互引次数
Zhang F,Haurwitz RE,0,13,0,0
Zhang F,Li Y,0,8,0,0
Zhang F,Ji WZ,1,1,0,0
Zhang F,van Duijn E,0,4,0,0
Zhang F,D'Ippolito AM,0,0,0,0
Zhang F,Perez-Pinera P,0,7,0,0
Zhang F,Li Z,1,2,0,0
Zhang F,Cowan CA,0,5,0,0
Zhang F,Dohmae N,1,5,0,0
Zhang F,Salvignol G,0,22,0,0
Zhang F,Soria E,0,0,0,0
Zhang F,Zhang X,0,3,1,1
Zhang F,Li L,0,1,0,0
Zhang F,Li M,0,2,1,1
Zhang F,Liu JL,0,2,0,0
Zhang F,Shmakov S,5,4,4,4
Zhang F,Parnas O,2,16,0,0
Zhang F,Gratz SJ,0,10,0,0
Zhang F,Kaplan M,0,6,0,0
Zhang F,Gaastra W,0,11,0,0
Zhang F,Jansen R,0,3,0,0
Zhang F,Polstein LR,0,3,0,0
Zhang F,Yosef I,0,1,3,1
Zhang F,Nekrasov V,0,3,0,0
Zhang F,Gagnon JA,0,1,0,0
Zhang F,Chen YC,0,2,0,0
Zhang F,Wu Q,1,4,1,1
Zhang F,McAnally JR,0,2,0,0
Zhang F,Brigham MD,3,2,0,0
Zhang F,Shelton JM,0,18,0,0
Zhang F,Li YJ,0,2,1,1
Zhang F,Heck AJR,0,1,1,1
Zhang F,Jackson RN,0,8,2,2
Zhang F,Bogorad RL,0,8,0,0
Zhang F,Koteliansky V,0,8,0,0
Zhang F,Rios X,0,8,0,0
Zhang F,Liu Y,0,2,1,1
Zhang F,Li DL,0,0,0,0
Zhang F,Mongodin EF,0,2,0,0
Zhang F,Grishin NV,0,2,0,0
Zhang F,Zhang XY,0,6,0,0
Zhang F,Liu MY,0,2,0,0
Zhang F,Hacohen N,2,2,0,0
Zhang F,Bolotin A,0,10,0,0
Zhang F,Ehrlich SD,0,0,0,0
Zhang F,Ouinquis B,0,0,0,0
Zhang F,Sorokin A,0,0,0,0
Zhang F,Chen J,0,0,0,0
Zhang F,Long CZ,0,0,0,0
Zhang F,Chen YL,0,2,0,0
Zhang F,Wang Z,0,2,0,0
Zhang F,Cummings AM,0,2,0,0
Zhang F,Donohue LK,0,6,0,0
Zhang F,Braff JL,0,6,0,0
Zhang F,Kweon J,0,0,0,0
Zhang F,Zhao XY,0,2,0,0
Zhang F,Carte J,0,4,3,3
Zhang F,Li YM,0,3,0,0
Zhang F,Chen WB,0,3,0,0
Zhang F,Friedland AE,0,2,0,0
Zhang F,Richter C,0,4,6,4
Zhang F,Zhang WS,0,2,0,0
Zhang F,Kang Y,0,0,0,0
Zhang F,Barcena C,1,4,0,0
Zhang F,Shao YJ,0,17,0,0
Zhang F,Yang L,0,2,0,0
Zhang F,Bushman FD,0,1,0,0
Zhang F,Carroll D,1,0,0,0
Zhang F,Khalili K,0,2,0,0
Zhang F,Li JF,0,2,1,1
Zhang F,Li YL,0,3,0,0
Zhang F,Gao LY,4,8,0,0
Zhang F,Mireault AA,0,8,0,0
Zhang F,Housden BE,0,2,0,0
Zhang F,Greene EC,0,1,0,0
Zhang F,Redding S,0,10,0,0
Zhang F,Sha JH,0,10,0,0
Zhang F,Coute-Monvoisin AC,0,4,2,2
Zhang F,Minot S,0,1,0,0
Zhang F,Blackburn EH,0,0,0,0
Zhang F,Cimini BA,0,9,0,0
Zhang F,Li GW,0,9,0,0
Zhang F,Schnitzbauer J,0,9,0,0
Zhang F,Shabalina SA,0,9,0,0
Zhang F,Liu XD,1,5,0,0
Zhang F,Xie KB,0,2,1,1
Zhang F,Belmonte JCI,0,4,0,0
Zhang F,Weeks DP,0,0,0,0
Zhang F,Guimaraes C,0,3,0,0
Zhang F,Panning B,0,10,0,0
Zhang F,Harrison MM,0,10,0,0
Zhang F,Wildonger J,0,5,0,0
Zhang F,Labonte J,0,5,0,0
Doudna JA,Hsu PD,0,8,3,3
Doudna JA,Ran FA,0,52,4,4
Doudna JA,Marraffini LA,1,77,22,22
Doudna JA,Barrangou R,1,42,49,42
Doudna JA,Charpentier E,4,39,16,16
Doudna JA,Church GM,0,62,3,3
Doudna JA,Horvath P,0,67,22,22
Doudna JA,Scott DA,0,66,0,0
Doudna JA,Joung JK,1,26,1,1
Doudna JA,Koonin EV,0,62,14,14
Doudna JA,Wu XB,0,26,1,1
Doudna JA,Makarova KS,0,31,9,9
Doudna JA,Jiang WY,0,56,8,8
Doudna JA,Jinek M,9,31,3,3
Doudna JA,van der Oost J,6,56,0,0
Doudna JA,Mali P,0,32,1,1
Doudna JA,Moineau S,0,72,20,20
Doudna JA,Cong L,0,0,2,0
Doudna JA,Esvelt KM,0,24,1,1
Doudna JA,Aach J,0,50,0,0
Doudna JA,Cox D,0,28,2,2
Doudna JA,Habib N,0,23,1,1
Doudna JA,Brouns SJJ,3,23,21,21
Doudna JA,Shalem O,0,30,0,0
Doudna JA,Lin SL,0,24,1,1
Doudna JA,Qi LS,2,53,2,2
Doudna JA,Weissman JS,2,22,1,1
Doudna JA,Konermann S,0,22,0,0
Doudna JA,Chylinski K,1,24,5,5
Doudna JA,Gilbert LA,2,22,1,1
Doudna JA,Yang LH,0,38,0,0
Doudna JA,Barretto R,0,62,1,1
Doudna JA,Fremaux C,0,22,8,8
