ELEMENT,PT FOOT-NOTE,COORD1,COORD2,COORD3
47,7,23.94,1.051,1.792
47,8,23.94,1.053,1.214
48,1,21.06,3.942,0.7917
48,2,21.06,3.943,0.2122
48,3,23.94,3.942,0.7912
48,4,23.94,3.943,0.212
48,5,21.06,1.053,0.7906
48,6,21.06,1.056,0.2119
48,7,23.94,1.054,0.7903
48,8,23.94,1.056,0.2118
49,1,26.06,3.941,2.795
49,2,26.06,3.941,2.217
49,3,28.94,3.941,2.794
49,4,28.94,3.942,2.216
49,5,26.06,1.05,2.793
49,6,26.06,1.051,2.215
49,7,28.95,1.052,2.792
49,8,28.94,1.052,2.214
50,1,26.06,3.941,1.793
50,2,26.06,3.942,1.215
50,3,28.94,3.942,1.792
50,4,28.94,3.942,1.214
50,5,26.06,1.052,1.792
50,6,26.06,1.053,1.213
50,7,28.94,1.053,1.791
50,8,28.94,1.054,1.213
51,1,26.06,3.943,0.7908
51,2,26.06,3.943,0.2119
51,3,28.94,3.943,0.7904
51,4,28.94,3.943,0.2118
51,5,26.06,1.054,0.79
51,6,26.06,1.056,0.2117
51,7,28.94,1.055,0.7898
51,8,28.94,1.056,0.2116
52,1,31.06,3.942,2.793
52,2,31.06,3.942,2.215
52,3,33.94,3.942,2.792
52,4,33.94,3.942,2.214
52,5,31.06,1.052,2.792
52,6,31.06,1.053,2.214
52,7,33.94,1.053,2.791
52,8,33.94,1.054,2.213
53,1,31.06,3.942,1.792
53,2,31.06,3.942,1.213
53,3,33.94,3.942,1.791
53,4,33.94,3.943,1.213
53,5,31.06,1.053,1.791
53,6,31.06,1.054,1.213
53,7,33.94,1.054,1.79
53,8,33.94,1.055,1.212
54,1,31.06,3.943,0.7901
54,2,31.06,3.943,0.2117
54,3,33.94,3.943,0.7898
54,4,33.94,3.943,0.2116
54,5,31.06,1.055,0.7896
54,6,31.06,1.056,0.2116
54,7,33.94,1.055,0.7894
54,8,33.94,1.056,0.2115
55,1,36.06,3.942,2.792
55,2,36.06,3.942,2.214
55,3,38.94,3.943,2.79
55,4,38.94,3.943,2.213
55,5,36.06,1.054,2.791
55,6,36.06,1.054,2.213
55,7,38.94,1.055,2.79
55,8,38.94,1.055,2.212
56,1,36.06,3.943,1.791
56,2,36.06,3.943,1.213
56,3,38.94,3.943,1.79
56,4,38.94,3.943,1.212
56,5,36.06,1.054,1.79
56,6,36.06,1.055,1.212
56,7,38.94,1.055,1.789
56,8,38.94,1.055,1.212
57,1,36.06,3.943,0.7897
57,2,36.06,3.943,0.2116
57,3,38.94,3.943,0.7892
57,4,38.94,3.943,0.2115
57,5,36.06,1.055,0.7893
57,6,36.06,1.056,0.2115
57,7,38.94,1.056,0.789
57,8,38.94,1.056,0.2114
76,1,-38.94,8.943,2.79
76,2,-38.94,8.943,2.213
76,3,-36.06,8.943,2.792
76,4,-36.06,8.943,2.214
76,5,-38.94,6.056,2.79
76,6,-38.94,6.056,2.213
76,7,-36.06,6.056,2.792
76,8,-36.06,6.056,2.214
77,1,-38.94,8.943,1.79
77,2,-38.94,8.943,1.212
77,3,-36.06,8.943,1.791
77,4,-36.06,8.943,1.213
77,5,-38.94,6.056,1.79
77,6,-38.94,6.056,1.212
77,7,-36.06,6.056,1.791
77,8,-36.06,6.056,1.213
78,1,-38.94,8.943,0.7891
78,2,-38.94,8.943,0.2114
78,3,-36.06,8.943,0.7896
78,4,-36.06,8.943,0.2116
