address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
五里店,北滨路江北嘴到嘉陵江大桥间（紧邻江北嘴商务区）,金融街融御,420,套内 183m²,5室(1),住宅,售罄,420
李家沱,渝南大道岔路口（巴南海宁皮草城旁）,芸峰兰亭,价格待定,套内 61~110m²,4室(2)/3室(5)/2室(1),住宅,售罄,67
白市驿,白市驿上邦路5号(海兰云天旁),上邦高尔夫国际社区,280,套内 255~334m²,4室(1)/3室(2),别墅,在售,90
北碚区,城南新城（缙云大道旁）,保利茵梦湖,250,套内 174~251m²,6室(1)/4室(1),别墅,在售,200
北碚区,缙云大道与云开路交汇处（缙云山健身步道旁）,劲扬缙云印象,400,套内 265~406m²,9室(1)/8室(1)/5室(1),别墅,在售,200
北碚区,城南新区缙云大道113号,融创紫泉枫丹,540,套内 455m²,9室(1),别墅,在售,214
茶园新区,茶园新区天文大道花街(茶园新区管委会西行300米),中交漫山,价格待定,,,住宅,售罄,50
茶园新区,南岸区茶园玉马路与通江大道交汇处(轨道6号线茶园站),金隅大成时代都汇,价格待定,套内 66~99m²,4室(1)/3室(3)/2室(2),住宅,售罄,80
空港新城,兰桂大道6号（新城广场斜对面）,汇祥林里3000,价格待定,套内 70m²,3室(1),住宅,售罄,88
石桥铺,石桥铺街道长新路1号,富邦金玖,40,套内 28~28m²,2室(1)/1室(1),商业类,在售,22
五里店,五里店黄花园大桥北桥头南方上格林旁,南方格林雅墅,价格待定,套内 185~214m²,4室(1)/3室(1),别墅,售罄,278
华岩,南华岩新城轻轨半山站旁（半山公园旁）,鑫泰华府,价格待定,套内 35m²,1室(1),住宅,售罄,20
杨家坪,杨家坪步行街石杨路（原工学院）,保利时代广场,13000,套内 40m²,1室(1),商业类,在售,71
回兴,回兴霓裳大道6号（南方翻译学院新大门对面）,香林豪郡一期,价格待定,,,住宅,售罄,73
双山,双山公园双园路（巴国城旁）,国瑞爱与山,价格待定,套内 45~148m²,5室(2)/4室(1)/3室(3)/2室(2)/1室(1),住宅,售罄,49
南滨路,南滨路28号(南滨国际旁),和记黄埔珊瑚水岸二期,25000,套内 315m²,4室(1),住宅,在售,640
北碚区,嘉悦大桥旁,金科城,价格待定,套内 144~178m²,5室(1)/4室(1),别墅,售罄,99
两路口,鹅岭正街58、59号（鹅岭公园旁）,鹅岭峰,价格待定,套内 175~341m²,5室(2)/4室(1)/3室(2),住宅,售罄,572
融侨半岛,南滨路（金辉公园旁）,金辉御江府,19000,套内 66~112m²,4室(1)/3室(5),住宅,在售,82
杨公桥,杨梨路19号（杨公桥立交旁）,华宇星云汇星领地,价格待定,,,商业类,售罄,49
空港新城,保税港区观月大道99号,海志观月山水,价格待定,套内 91~109m²,3室(1)/2室(1),住宅,售罄,38
茶园新区,茶园米兰路中段（茶花小镇旁）,光华安纳溪湖,14500,套内 279m²,5室(1),别墅,在售,117
空港新城,桃源大道100号（双凤立交桥东）,桃源居国际花园,价格待定,套内 74~98m²,3室(2),住宅,售罄,69
弹子石,南滨路两江汇(钟楼广场),阳光100喜马拉雅,50000,套内 382m²,4室(1),住宅,在售,320
礼嘉,礼嘉金通大道（融创玫瑰园旁）,华宇御澜湾,400,套内 151~155m²,4室(2),别墅,在售,300
工人村,工人村16号（体育馆旁）,汇景铂庭,价格待定,,,住宅,售罄,40
九宫庙,松青路1557号（大渡口步行街附近柏华小区对面）,祥和御馨园二期,10000,套内 45~45m²,1室(2),住宅,在售,45
大学城,大学城南二路1035号（绕城曾家站旁）,书香溪墅,价格待定,,,住宅,售罄,62
大学城,学智路651号,鸥鹏泊雅湾,价格待定,,,住宅,售罄,26
照母山,金州大道中段玥湖园1号（重光立交旁）,和记黄埔玥湖园,380,套内 241m²,4室(1),别墅,在售,370
空港新城,双龙湖街道竹音支路18号（观音岩公园旁）,水木香山,价格待定,,,住宅,售罄,48
空港新城,中央公园公园西路（公园西路与同茂大道交汇处）,金茂墅,470,套内 330m²,5室(1),别墅,在售,138
空港新城,龙盛新区龙骏大道（中航小镇商业街旁）,中航小镇,价格待定,套内 246m²,7室(1),别墅,售罄,110
龙洲湾,龙洲湾龙洲大道(巴文化公园对面),佳兆业广场,价格待定,,,商业类,售罄,36
礼嘉,礼嘉嘉陵江畔（轨道九曲河站前行1公里）,融创玫瑰园,价格待定,,,别墅,售罄,900
南滨路,南滨路中段第一大道（喜来登酒店旁）,皇冠国际,价格待定,套内 62~161m²,4室(1)/3室(1)/2室(1),住宅,售罄,96
融汇半岛,李家沱红光大道（外河坪公交枢纽站旁）,上丁跃世界,价格待定,套内 42m²,1室(1),住宅,售罄,37
空港新城,龙兴镇普福大道（重庆理工大学两江校区旁）,金瓯理工国际,价格待定,,,住宅,售罄,37
北碚区,龙凤新区三元村（龙凤溪轻轨站旁）,光亮天润城,价格待定,套内 66~91m²,4室(1)/3室(1),住宅,售罄,18
龙头寺,天宫殿街道橡树街9号（轻轨3号线唐家院子站）,力帆棠悦,600,套内 290m²,7室(1),别墅,在售,450
空港新城,兰馨大道109号（中央公园旁）,聚义香城雅郡,价格待定,,3室(4),住宅,售罄,61
烈士墓,石井坡216号(磁器口西门斜对面),俊峰香格里拉,20000,套内 100~126m²,5室(1)/4室(1),住宅,在售,135
回兴,回兴街道兴科大道499号（永辉超市对面）,富都广场,价格待定,套内 27~63m²,2室(1)/1室(2),住宅,售罄,55
融汇半岛,巴滨路777号(马桑溪大桥旁),招商依云江湾,10000,套内 53m²,2室(1),住宅,在售,55
江北嘴,江北嘴CBD旁(重庆大剧院旁),寰宇天下,价格待定,套内 219m²,5室(1),别墅,售罄,1285
南泉,渝南大道163号(轻轨三号线大山村车站旁),阳光100阿尔勒,价格待定,套内 110~162m²,5室(4)/4室(3),别墅,售罄,160
南山,南山崇文路（丽景酒店旁）,高屋林语堂,价格待定,套内 394m²,5室(1),别墅,售罄,532
西彭,西彭白彭路8号,北京城建熙城,4700,套内 88m²,2室(1),住宅,在售,37
南山,南山街道（重庆邮电大学附近）,金隅大成南山郡,470,套内 244m²,4室(1),别墅,在售,148
照母山,金州大道龙健路6号,两江名苑伯克林,价格待定,套内 116m²,3室(1),住宅,售罄,68
南泉,南泉街道堤坎路78号（重庆小泉森林公园）,华宇小泉微villa,价格待定,,,别墅,售罄,180
海尔路,铁山坪云岭路（铁山坪森林公园旁）,财信赖特与山,1900,套内 615m²,4室(1),别墅,在售,1900
李家沱,巴滨路（阳春湿地公园旁）,珠江城,185,套内 110~123m²,3室(2),别墅,在售,142
翠云,金开大道（轻轨3号线翠云站旁）,融创金开融府,400,套内 210~245m²,6室(1)/5室(1),别墅,在售,380
南坪,南坪重庆映像沃尔玛旁,金阳中医药健康旅游城,价格待定,套内 49~54m²,1室(2),商业类,售罄,56
西彭,西彭镇铝城大道旁,尚江宸溪香苑,4800,套内 66~92m²,3室(1)/2室(2),住宅,在售,31
融侨半岛,南滨路金辉公园内,金辉城耀江府,780,套内 333m²,6室(1),别墅,在售,780
大学城,大学城南一路166号,金科廊桥水乡四组团,550,套内 249~274m²,8室(1)/7室(1),别墅,在售,175
白市驿,西城大道恒大香山华府（香山公园旁）,恒大香山华府,7700,套内 89~115m²,4室(2)/3室(3),住宅,在售,52
人和,金开大道88号(火凤山公园旁),棕榈泉山顶别墅,3000,套内 535~713m²,5室(2),别墅,在售,2000
石马河,宏帆路佰富高尔夫旁（双碑大桥桥头）,万科江上明月,500,套内 258m²,5室(1),别墅,在售,331
解放碑,嘉滨路111-113号（洪崖洞旁）,高盛创富中心,15000,套内 38~93m²,2室(2)/1室(3),商业类,在售,70
白市驿,金凤镇海兰云天（AAAA国家级旅游度假区内）,海兰云天拾光里,价格待定,,,住宅,售罄,20
烈士墓,歌乐山林海南路18号,奇峰云邸,21000,套内 259~309m²,5室(1)/3室(2),别墅,在售,545
空港新城,回兴腾芳大道（职教中心对面）,中航中央城,价格待定,套内 21m²,1室(1),商业类,售罄,33
凤天路,新桥正街新桥医院正对面,新阳光广场,价格待定,套内 34~52m²,1室(6),商业类,售罄,41
解放碑,渝中区五一路,英利未来公寓,价格待定,,,商业类,售罄,186
白市驿,含谷镇鑫源路13号（鑫源工业园对面）,和威山千院,价格待定,,,住宅,售罄,36
西彭,西彭镇西湖路与三环路交叉路口,西海岸,5000,套内 48~109m²,4室(1)/3室(2)/2室(4),住宅,在售,30
