address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
牧马山,胜利镇燕杨路2号（维也纳森林别墅旁）,瑞升橄榄山,13000,290~331m²,6室(2)/5室(1),别墅,在售,350
新津,花桥龚巷村一组,花桥雅苑,4900,73~117m²,3室(2)/2室(1),住宅,售罄,27
金堂,滨江路二段（金堂客运中心旁）,金都华府,5100,100~116m²,4室(2)/3室(2),住宅,售罄,41
彭州,致和镇清江北路99号（牡丹大道三和东仪汽车旁,海德花园,价格待定,,,住宅,售罄,34
万年场,御风一路9号,明信鹭湾,13500,,,商业类,售罄,26
大邑,桃源新城人和街99号（新政府旁，新体院馆对面）,力扬时代,4600,,,住宅,售罄,20
都江堰,玉沿路与N17县道交叉口南100米,外滩新天地,10000,48m²,1室(1),住宅,在售,34
动物园,东丽街与东紫路交汇处（动物园东大门）,青龙广场,10800,,,商业类,在售,48
崇州,唐安东路与世纪大道交汇处,唐人街,6200,,,住宅,售罄,27
东山,成龙大道成简快速路口,东山国际君度半山,20000,,,别墅,售罄,290
红光,红光镇高店路西段226号,百维广场,8800,,,商业类,售罄,13
华阳,华府大道一段(欧尚超市对面）,海伦印象,17000,181m²,5室(1),别墅,售罄,280
驷马桥,成华区圣地亚家居斜对面,金科星耀天都,12600,,,商业类,售罄,36
大源,天府三街1599号（天府三街与南华路交汇处）,大源欢乐颂,24000,,,商业类,在售,122
红牌楼,中环路与永顺路交汇处,中环晓院,21000,,,住宅,售罄,195
国宾,西三环金牛大道金周路交汇处(金牛中学旁),保利学府城,450,118m²,4室(1),别墅,售罄,91
蛟龙港,东升双楠大道中段远大林语城,远大林语城,11000,173m²,4室(1),别墅,售罄,216
都江堰,一环路与蒲阳路交汇处,宁江大院三期,8000,,,住宅,售罄,43
大丰,大丰三环凤凰山森林公园凤凰山1号,凤凰山1号,5900,,,住宅,售罄,50
保利公园,成金青大道西侧，三环出城3公里处,保利湖心岛,17000,175~200m²,5室(1)/4室(1),别墅,售罄,297
金堂,三星镇学府大道279号,星岛星时区,5300,,,住宅,售罄,45
彭州,西河东路555号,天立世纪华府,4400,,,住宅,售罄,35
新津,五津五河路15号（新津老南桥与步行桥之间）,枫山美地,260,270m²,4室(1),别墅,售罄,92
毗河,江陵路335号,爵领欧城,7000,,,住宅,售罄,35
牧马山,牧马山大件路1089号,华新锦绣尚郡,15000,272m²,4室(1),别墅,售罄,230
新都城区,新繁镇文庙街88号,东湖郡,4500,,,住宅,售罄,31
都江堰,鑫玉大道426号,武海中华青城,12000,,,别墅,售罄,102
龙泉驿城区,公园路258号,东麓驿境四期,15000,108m²,2室(1),别墅,售罄,162
保利公园,成金青大道西侧，三环出城3公里处,保利湖心岛,17000,175~200m²,5室(1)/4室(1),别墅,售罄,297
金堂,三星镇学府大道279号,星岛星时区,5300,,,住宅,售罄,45
彭州,西河东路555号,天立世纪华府,4400,,,住宅,售罄,35
